instance_id,campus,size,track,structure,phi,eta,m,u_target,u_realized,method,seed,twt,makespan,mean_flow,breach_share,breach_p1,breach_p2,breach_p3,breach_p4,decisions,latency_ms_per_decision,replans,validator_ok,runtime_s,n_declines,deliberate_wait_bh,ran_primary_after_decline,ran_secondary_after_decline
c05_replay_150_0100,5,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,49.1439,4.2555700000000005,0.0,,,0.0,0.0,150,0.006163126478592555,,1,0.0009244689717888832,,,,
c05_replay_150_0100,5,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,49.1439,4.266714,0.0,,,0.0,0.0,150,0.008671768009662628,,1,0.0013007652014493942,69,16.66089999999999,12,2
c05_replay_150_0101,5,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,22.0,2.806532,0.0,,,0.0,0.0,150,0.005859291801850001,,1,0.0008788937702775002,,,,
c05_replay_150_0101,5,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,22.0,2.79608,0.0,,,0.0,0.0,150,0.025149111946423847,,1,0.0037723667919635773,575,186.7057000000002,23,10
c05_replay_150_0102,5,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,74.2303,4.433906,0.0,,,0.0,,150,0.006289084752400716,,1,0.0009433627128601074,,,,
c05_replay_150_0102,5,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,74.2303,4.402722666666667,0.0,,,0.0,,150,0.008445891241232554,,1,0.0012668836861848831,45,126.05029999999995,4,0
c05_replay_150_0103,5,150,replay,chain,1.0,0.8,0.6,,,edd,301,88.90960000000001,122.4231,5.142726666666667,0.013333333333333334,,,0.013333333333333334,,150,0.006255178401867549,,1,0.0009382767602801323,,,,
c05_replay_150_0103,5,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,43.793000000000006,99.8648,4.984251333333333,0.013333333333333334,,,0.013333333333333334,,150,0.008800296733776728,,1,0.0013200445100665092,37,6.290899999999991,11,0
c05_replay_150_0104,5,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,54.0972,4.1855139999999995,0.0,,,0.0,,150,0.006288730849822362,,1,0.0009433096274733543,,,,
c05_replay_150_0104,5,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,54.0972,4.187812666666667,0.0,,,0.0,,150,0.00852578009168307,,1,0.0012788670137524605,32,6.910700000000002,8,2
c05_replay_150_0105,5,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,50.0708,6.402131333333334,0.0,,,0.0,0.0,150,0.006035218636194865,,1,0.0009052827954292297,,,,
c05_replay_150_0105,5,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,50.0708,6.387354666666668,0.0,,,0.0,0.0,150,0.00914266953865687,,1,0.0013714004307985306,131,17.421000000000006,13,22
c05_replay_150_0106,5,150,replay,chain,1.0,0.8,0.6,,,edd,301,1.0,86.28,3.6866666666666665,0.006666666666666667,,,0.006666666666666667,,150,0.0064619071781635284,,1,0.0009692860767245293,,,,
c05_replay_150_0106,5,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,1.0,86.28,3.688028,0.006666666666666667,,,0.006666666666666667,,150,0.0074003202219804125,,1,0.001110048033297062,2,0.30920000000000003,1,0
c05_replay_150_0107,5,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,45.5,3.683197333333333,0.0,,,0.0,0.0,150,0.006232168525457382,,1,0.0009348252788186073,,,,
c05_replay_150_0107,5,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,45.5,3.6141566666666662,0.0,,,0.0,0.0,150,0.007334599892298381,,1,0.001100189983844757,10,4.840300000000001,3,1
c05_replay_150_0108,5,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,46.3119,3.5465853333333333,0.0,,,0.0,,150,0.0063949016233285265,,1,0.000959235243499279,,,,
c05_replay_150_0108,5,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,46.3119,3.5465853333333333,0.0,,,0.0,,150,0.007095237572987874,,1,0.0010642856359481812,0,0.0,0,0
c05_replay_150_0109,5,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,98.8706,15.823906666666666,0.0,,,0.0,0.0,150,0.005731303244829178,,1,0.0008596954867243767,,,,
c05_replay_150_0109,5,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,98.8706,15.607846,0.0,,,0.0,0.0,150,0.009380262345075607,,1,0.001407039351761341,103,28.895400000000013,63,1
c05_replay_150_0110,5,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,37.0689,3.359412666666667,0.0,,,0.0,0.0,150,0.006485531727472941,,1,0.0009728297591209412,,,,
c05_replay_150_0110,5,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,37.0689,3.3490979999999997,0.0,,,0.0,0.0,150,0.009314628938833872,,1,0.0013971943408250809,62,13.509899999999993,6,3
c05_replay_150_0111,5,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,84.2161,3.6255706666666674,0.0,,,0.0,0.0,150,0.006073415279388428,,1,0.0009110122919082642,,,,
c05_replay_150_0111,5,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,84.2161,3.6030306666666667,0.0,,,0.0,0.0,150,0.007833105822404226,,1,0.0011749658733606339,30,6.09759999999998,6,2
c05_replay_150_0112,5,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,32.9861,3.7421239999999996,0.0,,,0.0,,150,0.005827912439902623,,1,0.0008741868659853935,,,,
c05_replay_150_0112,5,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,32.9861,3.715336666666667,0.0,,,0.0,,150,0.010303929448127747,,1,0.001545589417219162,96,29.852500000000013,8,2
c05_replay_150_0113,5,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,51.8919,5.244635333333333,0.0,,,0.0,0.0,150,0.005975794047117233,,1,0.000896369107067585,,,,
c05_replay_150_0113,5,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,51.8919,5.251918666666667,0.0,,,0.0,0.0,150,0.010409783571958542,,1,0.0015614675357937813,180,42.54610000000022,14,16
c05_replay_150_0114,5,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,49.75,3.4373873333333327,0.0,,,0.0,0.0,150,0.006639206161101659,,1,0.0009958809241652489,,,,
c05_replay_150_0114,5,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,49.75,3.437970666666666,0.0,,,0.0,0.0,150,0.007190095881621043,,1,0.0010785143822431564,6,0.6156000000000148,1,1
c05_replay_150_0115,5,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,30.5472,2.4506399999999995,0.0,,,0.0,0.0,150,0.006726812571287155,,1,0.0010090218856930733,,,,
c05_replay_150_0115,5,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,31.0472,2.4473873333333334,0.0,,,0.0,0.0,150,0.008457272003094355,,1,0.0012685908004641533,43,8.596600000000011,9,4
c05_replay_150_0116,5,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,33.0,3.475535333333333,0.0,,,0.0,,150,0.005887877196073532,,1,0.0008831815794110298,,,,
c05_replay_150_0116,5,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,32.289699999999996,3.421808,0.0,,,0.0,,150,0.008575928707917532,,1,0.0012863893061876297,46,8.524199999999995,9,0
c05_replay_150_0117,5,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,91.2787,4.456558,0.0,,,0.0,0.0,150,0.006062413255373637,,1,0.0009093619883060455,,,,
c05_replay_150_0117,5,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,91.2787,4.425197333333334,0.0,,,0.0,0.0,150,0.010419941196839014,,1,0.0015629911795258522,111,20.50240000000005,8,3
c05_replay_150_0118,5,150,replay,chain,1.0,0.8,0.6,,,edd,301,2.0,89.0,4.016348,0.006666666666666667,,,0.006666666666666667,,150,0.0064367738862832384,,1,0.0009655160829424858,,,,
c05_replay_150_0118,5,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,2.0,89.0,4.007790666666667,0.006666666666666667,,,0.006666666666666667,,150,0.007898863404989243,,1,0.0011848295107483864,18,6.251399999999997,3,0
c05_replay_150_0119,5,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,25.8589,2.2925573333333333,0.0,,,0.0,,150,0.006692695120970408,,1,0.0010039042681455612,,,,
c05_replay_150_0119,5,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,25.8589,2.286174,0.0,,,0.0,,150,0.008837015678485235,,1,0.0013255523517727852,33,4.13969999999999,8,1
c05_replay_150_0120,5,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,33.9478,3.406887333333333,0.0,,,0.0,,150,0.006033635387818019,,1,0.0009050453081727028,,,,
