instance_id,campus,size,track,structure,phi,eta,m,u_target,u_realized,method,seed,twt,makespan,mean_flow,breach_share,breach_p1,breach_p2,breach_p3,breach_p4,decisions,latency_ms_per_decision,replans,validator_ok,runtime_s,n_declines,deliberate_wait_bh,ran_primary_after_decline,ran_secondary_after_decline
c01_replay_150_0100,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,64.0,46.8067,3.1284633333333334,0.013333333333333334,,0.022222222222222223,0.0,0.0,150,0.008472769210735956,,1,0.0012709153816103935,,,,
c01_replay_150_0100,1,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,64.0,46.8067,3.1125526666666667,0.013333333333333334,,0.022222222222222223,0.0,0.0,150,0.014412359644969305,,1,0.0021618539467453957,113,29.363800000000026,13,5
c01_replay_150_0101,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,91.07560000000001,6.078844666666666,0.0,0.0,0.0,0.0,0.0,150,0.008033880343039831,,1,0.0012050820514559746,,,,
c01_replay_150_0101,1,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,91.07560000000001,6.237840666666665,0.0,0.0,0.0,0.0,0.0,150,0.03338618824879328,,1,0.005007928237318993,899,254.33519999999942,30,19
c01_replay_150_0102,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,653.4592,98.8648,4.223636666666667,0.02,0.5,0.02127659574468085,0.0,0.0,150,0.008052686850229899,,1,0.0012079030275344849,,,,
c01_replay_150_0102,1,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,589.2192,98.8648,4.10878,0.02,0.5,0.02127659574468085,0.0,0.0,150,0.012600726137558619,,1,0.0018901089206337929,58,26.45809999999999,11,1
c01_replay_150_0103,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,159.99999999999997,69.9756,3.3678626666666664,0.013333333333333334,,0.015748031496062992,0.0,0.0,150,0.008592580755551657,,1,0.0012888871133327484,,,,
c01_replay_150_0103,1,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,159.99999999999997,69.9756,3.363173333333333,0.013333333333333334,,0.015748031496062992,0.0,0.0,150,0.012660082429647446,,1,0.0018990123644471169,49,9.553700000000012,11,0
c01_replay_150_0104,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,54.4814,4.091025333333333,0.0,0.0,0.0,0.0,0.0,150,0.008229402204354605,,1,0.0012344103306531906,,,,
c01_replay_150_0104,1,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,54.4811,4.020716666666666,0.0,0.0,0.0,0.0,0.0,150,0.015260055661201477,,1,0.0022890083491802216,198,30.279800000000066,24,3
c01_replay_150_0105,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,44.955799999999996,3.1233999999999997,0.0,0.0,0.0,0.0,0.0,150,0.008871791263421377,,1,0.0013307686895132065,,,,
c01_replay_150_0105,1,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,44.955799999999996,3.1137086666666662,0.0,0.0,0.0,0.0,0.0,150,0.010800876965125402,,1,0.0016201315447688103,9,2.597100000000007,3,0
c01_replay_150_0106,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,36.0,41.0,4.697583333333333,0.006666666666666667,,0.011764705882352941,0.0,0.0,150,0.007673005263010661,,1,0.0011509507894515991,,,,
c01_replay_150_0106,1,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,36.0,41.0,4.767040000000001,0.006666666666666667,,0.011764705882352941,0.0,0.0,150,0.024270452558994293,,1,0.003640567883849144,610,256.8025000000005,29,12
c01_replay_150_0107,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,658.8692000000001,99.0198,6.199109333333333,0.02666666666666667,,0.047058823529411764,0.0,0.0,150,0.0076996224621931715,,1,0.0011549433693289757,,,,
c01_replay_150_0107,1,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,656.8912,99.0198,6.181024666666667,0.02666666666666667,,0.047058823529411764,0.0,0.0,150,0.019528008997440338,,1,0.0029292013496160507,379,50.498899999999765,37,6
c01_replay_150_0108,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,90.8648,5.3651073333333335,0.0,,0.0,0.0,0.0,150,0.008116966734329859,,1,0.001217545010149479,,,,
c01_replay_150_0108,1,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,90.8648,5.401648666666667,0.0,,0.0,0.0,0.0,150,0.020836287488540012,,1,0.003125443123281002,372,116.98849999999999,24,9
c01_replay_150_0109,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,43.45920000000001,98.8648,5.258935333333333,0.013333333333333334,0.0,0.0,0.1111111111111111,0.0,150,0.007683659593264262,,1,0.0011525489389896393,,,,
c01_replay_150_0109,1,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,43.45920000000001,98.8648,5.228780666666666,0.013333333333333334,0.0,0.0,0.1111111111111111,0.0,150,0.011323193709055582,,1,0.0016984790563583374,60,6.9227000000000105,13,1
c01_replay_150_0110,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,404.36,115.3156,4.274866666666667,0.013333333333333334,,0.02,0.0,0.0,150,0.00806666910648346,,1,0.001210000365972519,,,,
c01_replay_150_0110,1,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,314.5568,92.8648,4.093282666666667,0.013333333333333334,,0.02,0.0,0.0,150,0.01242728903889656,,1,0.001864093355834484,75,25.47489999999999,9,0
c01_replay_150_0111,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,93.9154,5.979813999999999,0.0,,0.0,0.0,0.0,150,0.008029559006293615,,1,0.0012044338509440422,,,,
c01_replay_150_0111,1,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,93.9154,5.9104833333333335,0.0,,0.0,0.0,0.0,150,0.027084679653247196,,1,0.00406270194798708,614,223.40439999999927,34,12
c01_replay_150_0112,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,51.016400000000004,98.8648,3.7709426666666666,0.013333333333333334,,0.008695652173913044,0.045454545454545456,0.0,150,0.0077855462829271955,,1,0.0011678319424390793,,,,
c01_replay_150_0112,1,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,51.016400000000004,98.8648,3.770033333333334,0.013333333333333334,,0.008695652173913044,0.045454545454545456,0.0,150,0.012395568192005157,,1,0.0018593352288007736,79,12.111000000000006,13,4
c01_replay_150_0113,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,300.52,92.2314,3.532488,0.02,,0.028037383177570093,0.0,0.0,150,0.00806393101811409,,1,0.0012095896527171135,,,,
c01_replay_150_0113,1,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,241.59439999999998,77.5,3.4491453333333335,0.02,,0.028037383177570093,0.0,0.0,150,0.01644684001803398,,1,0.002467026002705097,145,36.03640000000002,21,6
c01_replay_150_0114,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,18.7042,4.3510420000000005,0.0,,0.0,0.0,0.0,150,0.00827424849073092,,1,0.0012411372736096382,,,,
c01_replay_150_0114,1,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,18.8244,4.3858526666666675,0.0,,0.0,0.0,0.0,150,0.023147066434224445,,1,0.003472059965133667,334,56.434999999999974,26,22
c01_replay_150_0115,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,60.0,48.5756,3.030333333333333,0.006666666666666667,0.0,0.01020408163265306,0.0,0.0,150,0.008512151738007864,,1,0.0012768227607011795,,,,
c01_replay_150_0115,1,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,60.0,48.5756,3.024271333333333,0.006666666666666667,0.0,0.01020408163265306,0.0,0.0,150,0.013487152755260468,,1,0.00202307291328907,48,10.604800000000006,9,2
c01_replay_150_0116,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,54.1569,3.890937333333333,0.0,,0.0,0.0,0.0,150,0.008142758160829544,,1,0.0012214137241244316,,,,
c01_replay_150_0116,1,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,54.1569,3.8165920000000004,0.0,,0.0,0.0,0.0,150,0.01573578764994939,,1,0.0023603681474924088,125,24.571200000000044,22,4
c01_replay_150_0117,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,21.729600000000005,106.8648,6.501994666666667,0.006666666666666667,,0.0,0.25,0.0,150,0.010657024880250296,,1,0.0015985537320375443,,,,
c01_replay_150_0117,1,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,21.729600000000005,106.8648,6.521194666666667,0.006666666666666667,,0.0,0.25,0.0,150,0.018345297624667484,,1,0.002751794643700123,53,12.45000000000001,17,24
c01_replay_150_0118,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,37.0433,3.346025333333334,0.0,,0.0,0.0,0.0,150,0.007946075250705084,,1,0.0011919112876057625,,,,
c01_replay_150_0118,1,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,37.0433,3.2897313333333336,0.0,,0.0,0.0,0.0,150,0.02337103709578514,,1,0.003505655564367771,252,44.539399999999866,13,20
c01_replay_150_0119,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,3.759999999999991,89.88,3.2250900000000002,0.006666666666666667,,0.0,0.05555555555555555,0.0,150,0.008050563434759775,,1,0.0012075845152139664,,,,
c01_replay_150_0119,1,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,74.5183,3.08907,0.0,,0.0,0.0,0.0,150,0.015249568969011307,,1,0.002287435345351696,130,26.430000000000057,11,13
c01_replay_150_0120,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,23.3694,3.1818,0.0,,0.0,0.0,0.0,150,0.007362285008033116,,1,0.0011043427512049675,,,,
c01_replay_150_0120,1,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,23.3694,3.320439999999999,0.0,,0.0,0.0,0.0,150,0.020210066189368565,,1,0.003031509928405285,326,70.24340000000016,24,14
c01_replay_150_0121,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,0.0,34.0,3.713658666666667,0.0,,0.0,0.0,0.0,150,0.008047757049401602,,1,0.0012071635574102402,,,,
c01_replay_150_0121,1,150,replay,chain,1.0,0.8,0.6,,,edd_patient,301,0.0,34.0,3.6889779999999996,0.0,,0.0,0.0,0.0,150,0.015647417555252712,,1,0.0023471126332879066,82,12.231800000000032,14,9
c01_replay_150_0122,1,150,replay,chain,1.0,0.8,0.6,,,edd,301,117.99999999999999,58.4631,3.4308106666666665,0.006666666666666667,,0.011363636363636364,0.0,0.0,150,0.00837735210855802,,1,0.0012566028162837029,,,,
