campus,trade,crew,p95_weekly_hours,rows
1,B20,2,43.65,750
1,C10,4,127.1,4452
1,C30,6,213.26,2768
1,D20,13,504.06,17342
1,D30,18,716.06,17261
1,D40,9,324.88,9560
1,D50,12,471.3,18538
1,D90,6,239.68,1403
1,E10,3,83.45,1257
1,E20,2,54.2,835
1,MISC,5,187.31,1694
2,C10,2,74.8,54
2,D20,6,209.65,358
2,D30,6,232.86,607
2,D40,2,76.0,77
2,D50,3,98.63,233
2,E10,4,129.25,449
2,MISC,7,262.77,260
5,B20,2,72.0,9362
5,B30,5,167.85,8051
5,C10,2,72.54,22435
5,C30,4,120.5,5417
5,D20,15,598.11,90814
5,D30,28,1104.22,135133
5,D40,1,31.0,30851
5,D50,6,204.23,17891
5,E10,2,59.0,6877
5,E20,3,110.1,2419
5,MISC,2,45.8,929
9,B20,2,47.48,1231
9,B30,4,130.65,1333
9,C10,2,67.0,4567
9,C30,5,182.17,2193
9,D10,1,20.3,1076
9,D20,10,368.5,14755
9,D30,24,949.05,25379
9,D40,7,268.78,5332
9,D50,12,449.18,29238
9,D90,6,224.25,4422
9,E10,5,181.49,2447
9,E20,1,25.83,938
9,MISC,3,94.86,937
10,B20,3,107.75,4156
10,B30,1,28.55,526
10,C10,5,176.05,5447
10,C30,4,140.1,2350
10,D20,16,616.2,25056
10,D30,31,1227.98,62247
10,D40,40,1588.29,9527
10,D50,19,732.5,81949
10,D90,4,136.15,3034
10,E10,5,175.0,7031
10,E20,1,36.75,570
10,MISC,1,27.05,396
10,UNK,2,53.9,351
12,B20,7,273.95,1432
12,B30,5,167.65,299
12,C10,9,345.11,5579
12,C30,13,486.58,1255
12,D20,25,988.38,6177
12,D30,40,1564.6,6895
12,D40,6,228.58,704
12,D50,21,822.86,5848
12,D90,10,372.37,832
12,E10,7,275.86,1771
12,E20,8,309.36,2296
12,MISC,11,421.36,800
12,UNK,4,142.0,268
