campus,trade,crew,p95_weekly_hours,rows
1,B20,2,60.1,1175
1,C10,5,167.14,7957
1,C30,7,242.37,4533
1,D20,15,584.96,28547
1,D30,22,858.87,27876
1,D40,11,400.38,16211
1,D50,14,559.82,30546
1,D90,7,277.39,2519
1,E10,3,115.59,2207
1,E20,2,67.5,1326
1,MISC,6,206.44,2740
2,C10,4,151.2,3149
2,D20,22,872.95,8830
2,D30,34,1331.94,12049
2,D40,4,133.63,1509
2,D50,14,554.34,6709
2,E10,9,325.6,5126
2,MISC,16,622.38,3195
5,B20,4,124.5,9931
5,B30,16,610.48,8718
5,C10,3,82.8,25127
5,C30,4,149.49,5738
5,D20,22,852.55,105542
5,D30,54,2120.96,168401
5,D40,3,88.33,34314
5,D50,9,332.4,23571
5,E10,2,76.0,8063
5,E20,5,179.78,3299
5,MISC,2,62.0,965
9,B20,2,64.45,1828
9,B30,4,156.57,2272
9,C10,3,86.1,6925
9,C30,6,221.78,3346
9,D10,1,30.59,1754
9,D20,12,462.95,23474
9,D30,27,1075.94,39815
9,D40,9,323.56,8033
9,D50,13,517.91,41048
9,D90,9,354.07,9164
9,E10,5,187.68,3361
9,E20,2,40.65,1357
9,MISC,3,117.16,1737
10,B20,4,122.37,15707
10,B30,1,37.5,1562
10,C10,5,196.66,13999
10,C30,5,179.44,5545
10,D20,20,783.97,68641
10,D30,45,1784.41,153701
10,D40,83,3289.85,28381
10,D50,51,2006.76,291247
10,D90,4,142.92,5806
10,E10,5,196.73,19431
10,E20,2,50.47,1354
10,MISC,11,410.65,1562
10,UNK,6,206.8,1281
12,B20,8,285.16,5705
12,B30,7,257.25,1246
12,C10,10,367.48,20399
12,C30,15,590.98,4773
12,D20,24,926.02,25783
12,D30,42,1642.25,29946
12,D40,7,258.79,2813
12,D50,22,850.62,22075
12,D90,15,568.9,3928
12,E10,9,328.4,7258
12,E20,10,367.28,8932
12,MISC,11,420.64,2815
12,UNK,5,186.62,1385
