campus,trade,crew,p95_weekly_hours,rows
1,B20,1,24.5,138
1,C10,4,133.68,4127
1,C30,6,231.15,2705
1,D20,10,392.51,10598
1,D30,13,487.63,10748
1,D40,2,63.6,647
1,D50,10,367.1,12198
1,D90,1,0.0,0
1,E10,2,71.0,1015
1,E20,2,66.75,694
1,MISC,5,195.46,901
2,C10,3,90.86,43
2,D20,6,212.22,78
2,D30,6,238.04,308
2,D40,3,80.96,6
2,D50,3,106.08,88
2,E10,3,96.7,35
2,MISC,5,196.45,103
5,B20,2,49.18,3026
5,B30,4,133.7,2470
5,C10,2,79.82,21790
5,C30,4,153.0,5382
5,D20,9,340.4,50920
5,D30,18,694.72,75621
5,D40,1,16.8,2151
5,D50,4,126.0,11000
5,E10,2,68.55,6809
5,E20,2,50.25,804
5,MISC,2,48.55,619
9,B20,1,24.67,441
9,B30,2,71.45,218
9,C10,1,26.09,1198
9,C30,3,90.62,370
9,D10,1,13.0,246
9,D20,4,158.96,3935
9,D30,6,206.82,5541
9,D40,2,68.17,1310
9,D50,2,76.51,3546
9,D90,1,0.0,0
9,E10,1,38.9,536
9,E20,1,8.81,38
9,MISC,4,155.71,243
10,B20,1,38.74,952
10,B30,1,24.0,112
10,C10,4,131.85,4799
10,C30,4,127.65,2103
10,D20,8,293.6,7844
10,D30,11,431.24,7982
10,D40,4,151.01,1769
10,D50,11,437.74,13223
10,D90,1,0.0,0
10,E10,3,103.29,2335
10,E20,2,41.12,481
10,MISC,1,22.12,266
10,UNK,3,88.72,351
12,B20,8,285.54,1368
12,B30,6,201.72,284
12,C10,9,336.67,4660
12,C30,9,347.31,856
12,D20,24,937.1,5698
12,D30,36,1427.14,6355
12,D40,7,256.19,636
12,D50,18,716.39,4313
12,D90,9,327.91,685
12,E10,6,230.18,1239
12,E20,5,187.66,1016
12,MISC,11,424.92,599
12,UNK,5,176.01,268
