campus,trade,crew,p95_weekly_hours,rows
1,B20,1,39.6,729
1,C10,3,91.65,4239
1,C30,2,64.9,2225
1,D20,8,315.77,16170
1,D30,10,393.15,15370
1,D40,8,308.8,9298
1,D50,10,377.55,17645
1,D90,2,58.7,1245
1,E10,1,30.55,1162
1,E20,1,23.5,718
1,MISC,1,38.0,1493
2,C10,1,13.6,44
2,D20,1,33.69,290
2,D30,2,79.68,486
2,D40,1,39.0,71
2,D50,1,19.52,181
2,E10,2,68.05,413
2,MISC,2,43.72,149
5,B20,3,108.92,8852
5,B30,2,76.9,4780
5,C10,2,74.05,22143
5,C30,2,49.45,4365
5,D20,13,482.22,86177
5,D30,28,1096.58,125543
5,D40,1,39.9,30027
5,D50,4,153.21,16227
5,E10,1,38.0,6339
5,E20,2,65.0,1903
5,MISC,1,27.05,822
9,B20,1,25.94,1109
9,B30,2,79.75,963
9,C10,2,51.59,4414
9,C30,2,41.17,1653
9,D10,1,27.55,1071
9,D20,7,278.0,13321
9,D30,14,531.5,21848
9,D40,3,115.19,4609
9,D50,11,407.41,28152
9,D90,5,191.26,3947
9,E10,2,44.37,1879
9,E20,1,18.77,874
9,MISC,1,28.7,782
10,B20,3,106.85,4103
10,B30,1,23.81,493
10,C10,4,130.35,5256
10,C30,2,69.37,2140
10,D20,10,384.09,24148
10,D30,23,915.31,60509
10,D40,5,177.09,7836
10,D50,14,546.43,81093
10,D90,3,87.04,2955
10,E10,4,146.58,6804
10,E20,1,19.99,531
10,MISC,1,16.4,361
10,UNK,1,17.01,295
12,B20,3,91.28,1262
12,B30,1,29.02,175
12,C10,6,237.69,5374
12,C30,3,86.6,829
12,D20,8,319.06,5373
12,D30,12,448.8,5208
12,D40,2,50.84,492
12,D50,7,266.09,5053
12,D90,4,132.78,617
12,E10,3,104.25,1500
12,E20,3,99.75,2015
12,MISC,2,59.36,524
12,UNK,1,18.25,182
