instance_id,campus,size,n_orders,n_cm,n_pm,n_short,n_long,hours_total,hours_cm,hours_pm,hours_short,hours_long
c05_replay_150_0100,5,150,150,134,16,138,12,621.2,521.7,99.5,319.5,301.7
c05_replay_150_0101,5,150,150,52,98,145,5,296.0,144.0,152.0,238.0,58.0
c05_replay_150_0102,5,150,150,150,0,131,19,648.4,648.4,0.0,317.6,330.8
c05_replay_150_0103,5,150,150,150,0,135,15,740.9796,740.9796,0.0,342.75,398.2296
c05_replay_150_0104,5,150,150,150,0,134,16,617.3000000000001,617.3000000000001,0.0,276.1,341.2
c05_replay_150_0105,5,150,150,95,55,139,11,514.5,278.0,236.5,369.0,145.5
c05_replay_150_0106,5,150,150,150,0,138,12,550.0,550.0,0.0,312.0,238.0
c05_replay_150_0107,5,150,150,149,1,136,14,534.6,511.6,23.0,337.1,197.5
c05_replay_150_0108,5,150,150,150,0,140,10,510.5,510.5,0.0,314.0,196.5
c05_replay_150_0109,5,150,150,23,127,116,34,1834.0536000000004,163.0,1671.0536000000002,336.0,1498.0536000000002
c05_replay_150_0110,5,150,150,149,1,137,13,490.7,489.7,1.0,295.49999999999994,195.2
c05_replay_150_0111,5,150,150,149,1,142,8,518.6,435.6,83.0,329.1,189.5
c05_replay_150_0112,5,150,150,150,0,135,15,504.1,504.1,0.0,298.6,205.5
c05_replay_150_0113,5,150,150,102,48,144,6,549.5,393.0,156.5,379.5,170.0
c05_replay_150_0114,5,150,150,108,42,141,9,459.4,370.4,89.0,281.20000000000005,178.2
c05_replay_150_0115,5,150,150,137,13,145,5,326.8,310.3,16.5,264.29999999999995,62.5
c05_replay_150_0116,5,150,150,150,0,138,12,505.5,505.5,0.0,317.5,188.0
c05_replay_150_0117,5,150,150,149,1,139,11,654.2648,563.4,90.8648,332.0,322.2648
c05_replay_150_0118,5,150,150,150,0,135,15,595.0,595.0,0.0,282.5,312.5
c05_replay_150_0119,5,150,150,150,0,147,3,331.40000000000003,331.40000000000003,0.0,289.4,42.0
c05_replay_150_0120,5,150,150,150,0,137,13,492.3,492.3,0.0,295.6,196.7
c05_replay_150_0121,5,150,150,137,13,139,11,471.49999999999994,458.49999999999994,13.0,275.0,196.5
c05_replay_150_0122,5,150,150,150,0,140,10,476.9,476.9,0.0,317.4,159.5
c05_replay_150_0123,5,150,150,150,0,137,13,583.5,583.5,0.0,288.6,294.9
c05_replay_150_0124,5,150,150,149,1,137,13,571.55,565.55,6.0,340.3,231.25
c05_replay_150_0125,5,150,150,149,1,138,12,498.7,497.7,1.0,317.2,181.5
c05_replay_150_0126,5,150,150,70,80,145,5,397.9,219.4,178.5,315.9,82.0
c05_replay_150_0127,5,150,150,143,7,141,9,473.8,447.8,26.0,328.8,145.0
c05_replay_150_0128,5,150,150,149,1,140,10,657.1648,651.1648,6.0,315.6,341.5648
c05_replay_150_0129,5,150,150,99,51,137,13,663.6,501.59999999999997,162.0,372.2,291.4
c05_replay_150_0130,5,150,150,150,0,139,11,514.8,514.8,0.0,302.5,212.3
c05_replay_150_0131,5,150,150,148,2,138,12,490.0,470.0,20.0,333.49999999999994,156.5
c05_replay_150_0132,5,150,150,132,18,135,15,610.5,554.0,56.5,305.0,305.5
c05_replay_150_0133,5,150,150,149,1,139,11,569.3,557.3,12.0,349.3,220.0
c05_replay_150_0134,5,150,150,150,0,140,10,496.3,496.3,0.0,298.8,197.5
