instance_id,campus,size,structure,phi,eta,m,method,twt,twt_cm,twt_pm,twt_short,twt_long,validator_ok
c05_replay_150_0100,5,150,chain,1.0,0.8,0.6,atc,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0100,5,150,chain,1.0,0.8,0.6,atc_eta,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0100,5,150,chain,1.0,0.8,0.6,edd,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0100,5,150,chain,1.0,0.8,0.6,lfj_atc,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0100,5,150,chain,1.0,0.8,0.6,mor,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0100,5,150,chain,1.0,0.8,0.6,pfifo,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0100,5,150,chain,1.0,0.8,0.6,random,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0100,5,150,chain,1.0,0.8,0.6,wspt,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0101,5,150,chain,1.0,0.8,0.6,atc,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0101,5,150,chain,1.0,0.8,0.6,atc_eta,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0101,5,150,chain,1.0,0.8,0.6,edd,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0101,5,150,chain,1.0,0.8,0.6,lfj_atc,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0101,5,150,chain,1.0,0.8,0.6,mor,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0101,5,150,chain,1.0,0.8,0.6,pfifo,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0101,5,150,chain,1.0,0.8,0.6,random,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0101,5,150,chain,1.0,0.8,0.6,wspt,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0102,5,150,chain,1.0,0.8,0.6,atc,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0102,5,150,chain,1.0,0.8,0.6,atc_eta,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0102,5,150,chain,1.0,0.8,0.6,edd,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0102,5,150,chain,1.0,0.8,0.6,lfj_atc,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0102,5,150,chain,1.0,0.8,0.6,mor,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0102,5,150,chain,1.0,0.8,0.6,pfifo,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0102,5,150,chain,1.0,0.8,0.6,random,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0102,5,150,chain,1.0,0.8,0.6,wspt,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0103,5,150,chain,1.0,0.8,0.6,atc,88.90960000000001,88.90960000000001,0.0,0.0,88.90960000000001,1
c05_replay_150_0103,5,150,chain,1.0,0.8,0.6,atc_eta,88.90960000000001,88.90960000000001,0.0,0.0,88.90960000000001,1
c05_replay_150_0103,5,150,chain,1.0,0.8,0.6,edd,88.90960000000001,88.90960000000001,0.0,0.0,88.90960000000001,1
c05_replay_150_0103,5,150,chain,1.0,0.8,0.6,lfj_atc,88.90960000000001,88.90960000000001,0.0,0.0,88.90960000000001,1
c05_replay_150_0103,5,150,chain,1.0,0.8,0.6,mor,88.90960000000001,88.90960000000001,0.0,0.0,88.90960000000001,1
c05_replay_150_0103,5,150,chain,1.0,0.8,0.6,pfifo,88.90960000000001,88.90960000000001,0.0,0.0,88.90960000000001,1
c05_replay_150_0103,5,150,chain,1.0,0.8,0.6,random,88.90960000000001,88.90960000000001,0.0,0.0,88.90960000000001,1
c05_replay_150_0103,5,150,chain,1.0,0.8,0.6,wspt,88.90960000000001,88.90960000000001,0.0,0.0,88.90960000000001,1
c05_replay_150_0104,5,150,chain,1.0,0.8,0.6,atc,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0104,5,150,chain,1.0,0.8,0.6,atc_eta,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0104,5,150,chain,1.0,0.8,0.6,edd,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0104,5,150,chain,1.0,0.8,0.6,lfj_atc,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0104,5,150,chain,1.0,0.8,0.6,mor,0.0,0.0,0.0,0.0,0.0,1
c05_replay_150_0104,5,150,chain,1.0,0.8,0.6,pfifo,0.0,0.0,0.0,0.0,0.0,1
