update,mean_train_return,dev_primary,dev_l0,dev_full,entropy,value_loss,seconds
0,-4.574346,477.800850,409.827088,493.192925,1.825987,1.328569,191.583
1,-3.390942,477.800850,409.827088,493.192925,2.186254,0.705551,18.252
2,-0.959534,477.800850,409.827088,493.192925,1.415172,0.389728,18.348
3,-2.427688,477.800850,409.827088,493.192925,1.583091,1.017791,16.881
4,-4.562464,477.800850,409.827088,493.192925,1.730481,1.853788,13.705
5,-1.403906,477.800850,409.827088,493.192925,1.100685,1.210673,16.417
6,-2.617775,477.800850,409.827088,493.192925,1.338209,1.011089,15.419
7,-2.707037,477.800850,409.827088,493.192925,1.817719,1.829440,14.625
8,-4.271620,477.800850,409.827088,493.192925,1.788887,1.525052,14.969
9,-2.473253,477.800850,409.827088,493.192925,1.402013,0.964526,18.869
10,-1.995485,477.800850,409.827088,493.192925,1.187707,1.625686,16.886
11,-4.914456,477.800850,409.827088,493.192925,1.455556,2.063770,22.085
12,-1.978208,477.800850,409.827088,493.192925,1.632774,1.011829,19.430
13,-2.053060,477.800850,409.827088,493.192925,1.600787,1.311248,19.333
14,-5.431344,477.800850,409.827088,493.192925,1.781466,2.193839,16.897
15,-1.235560,477.800850,409.827088,493.192925,2.103293,0.771061,16.825
16,-1.553882,477.800850,409.827088,493.192925,1.495401,0.422871,17.945
17,-1.100572,477.800850,409.827088,493.192925,1.690100,0.996833,16.477
18,-5.066094,477.800850,409.827088,493.192925,1.390406,2.421673,22.652
19,-3.640790,477.800850,409.827088,493.192925,1.790628,1.023850,20.663
20,-3.608727,443.612925,409.358338,459.803337,1.790571,4.848170,285.060
21,-1.824097,443.612925,409.358338,459.803337,1.379815,0.530012,23.306
22,-1.949763,443.612925,409.358338,459.803337,1.432788,1.531297,22.856
23,-2.508234,443.612925,409.358338,459.803337,1.839771,0.780081,23.997
24,-3.595574,443.612925,409.358338,459.803337,1.668352,1.173352,23.767
25,-2.654507,443.612925,409.358338,459.803337,1.546519,0.969234,23.217
26,-4.618059,443.612925,409.358338,459.803337,1.883269,2.157152,22.037
27,-4.214715,443.612925,409.358338,459.803337,1.760318,1.716745,18.035
28,-3.955222,443.612925,409.358338,459.803337,2.106698,1.170461,19.615
29,-2.857699,443.612925,409.358338,459.803337,1.698055,1.922772,15.736
30,-1.804114,443.612925,409.358338,459.803337,1.601412,1.665428,14.651
31,-5.480401,443.612925,409.358338,459.803337,1.522968,2.181864,25.639
32,-2.907905,443.612925,409.358338,459.803337,1.996843,2.646583,23.025
33,-4.695375,443.612925,409.358338,459.803337,1.769757,1.652042,13.982
34,-1.887915,443.612925,409.358338,459.803337,1.542719,2.536613,22.450
35,-4.246817,443.612925,409.358338,459.803337,1.637533,1.591474,18.250
36,-3.087444,443.612925,409.358338,459.803337,1.668269,0.917586,18.465
37,-1.984869,443.612925,409.358338,459.803337,2.222061,0.818545,14.026
38,-4.383233,443.612925,409.358338,459.803337,1.450028,3.162582,17.690
39,-2.966864,443.612925,409.358338,459.803337,1.860940,1.737603,28.599
40,-2.610674,440.610912,409.764588,447.329562,1.453363,1.950969,247.046
41,-5.626706,440.610912,409.764588,447.329562,1.812812,2.681346,20.048
42,-4.507386,440.610912,409.764588,447.329562,1.720626,1.227354,20.855
43,-1.825816,440.610912,409.764588,447.329562,1.871087,1.485622,27.400
44,-2.691624,440.610912,409.764588,447.329562,1.275502,1.329345,18.834
45,-1.539808,440.610912,409.764588,447.329562,1.414786,1.697473,17.116
46,-2.105701,440.610912,409.764588,447.329562,2.001216,1.536018,20.788
47,-3.051437,440.610912,409.764588,447.329562,2.153191,0.875143,23.082
48,-4.060898,440.610912,409.764588,447.329562,1.902447,2.002316,17.860
49,-2.798100,440.610912,409.764588,447.329562,1.405023,0.381892,16.953
50,-0.665002,440.610912,409.764588,447.329562,1.425656,0.463213,22.978
51,-2.534813,440.610912,409.764588,447.329562,1.676021,0.452071,17.415
52,-2.112716,440.610912,409.764588,447.329562,1.327165,1.063180,16.132
53,-3.182093,440.610912,409.764588,447.329562,1.686345,1.269524,22.426
54,-3.691680,440.610912,409.764588,447.329562,1.894571,0.503693,19.789
55,-0.828210,440.610912,409.764588,447.329562,1.874598,0.612805,19.540
56,-2.510086,440.610912,409.764588,447.329562,1.670531,2.245115,20.646
57,-7.622491,440.610912,409.764588,447.329562,1.256260,2.771316,19.652
58,-2.288808,440.610912,409.764588,447.329562,1.751247,1.511625,25.000
59,-3.566797,440.610912,409.764588,447.329562,1.860467,1.256501,20.391
60,-2.054921,438.504062,409.827088,446.812162,1.619541,1.158846,325.220
61,-2.372494,438.504062,409.827088,446.812162,1.378320,1.360295,21.710
62,-2.092646,438.504062,409.827088,446.812162,1.640219,1.374672,24.209
63,-3.125595,438.504062,409.827088,446.812162,1.897845,1.302394,21.737
64,-3.973382,438.504062,409.827088,446.812162,1.717930,2.179296,23.775
65,-5.129321,438.504062,409.827088,446.812162,1.633573,2.008572,18.105
66,-1.685033,438.504062,409.827088,446.812162,1.647991,1.263239,28.545
67,-4.162197,438.504062,409.827088,446.812162,1.501287,1.803127,24.136
68,-2.909792,438.504062,409.827088,446.812162,1.662674,1.244063,19.235
69,-3.395913,438.504062,409.827088,446.812162,1.992764,1.542187,21.552
70,-3.136709,438.504062,409.827088,446.812162,1.680759,1.001540,16.966
71,-1.628540,438.504062,409.827088,446.812162,1.265241,0.945179,20.108
72,-2.908533,438.504062,409.827088,446.812162,1.480751,0.639480,23.464
73,-2.440057,438.504062,409.827088,446.812162,1.746057,3.591334,25.407
74,-5.954371,438.504062,409.827088,446.812162,1.702214,2.799222,14.880
75,-3.177787,438.504062,409.827088,446.812162,1.486544,2.608490,16.420
76,-2.641848,438.504062,409.827088,446.812162,1.795225,1.303215,16.009
77,-1.320621,438.504062,409.827088,446.812162,1.541889,0.856249,24.063
78,-1.692842,438.504062,409.827088,446.812162,1.624890,1.833362,18.354
79,-4.203706,438.504062,409.827088,446.812162,1.776021,0.839398,20.289
80,-2.958601,443.072887,409.889588,447.793587,1.726236,1.241760,274.400
81,-3.888788,443.072887,409.889588,447.793587,1.322721,0.739835,24.696
82,-3.291649,443.072887,409.889588,447.793587,1.701868,1.069828,25.267
83,-3.192754,443.072887,409.889588,447.793587,1.740431,0.697869,21.132
84,-5.045391,443.072887,409.889588,447.793587,1.682011,1.438624,19.533
85,-4.653090,443.072887,409.889588,447.793587,1.498362,0.930016,18.184
86,-3.507495,443.072887,409.889588,447.793587,1.706214,1.630790,20.631
87,-4.608955,443.072887,409.889588,447.793587,1.798066,9.145229,23.023
88,-3.288442,443.072887,409.889588,447.793587,1.788982,1.009476,20.967
89,-2.558592,443.072887,409.889588,447.793587,2.165053,0.823087,21.162
90,-3.410743,443.072887,409.889588,447.793587,2.279520,0.701954,15.922
91,-1.323019,443.072887,409.889588,447.793587,1.623729,0.533744,19.060
92,-4.049929,443.072887,409.889588,447.793587,1.702144,1.438204,19.972
93,-4.121211,443.072887,409.889588,447.793587,1.854180,1.945875,15.673
94,-3.515577,443.072887,409.889588,447.793587,1.687870,0.973019,27.147
95,-2.078917,443.072887,409.889588,447.793587,1.217912,1.613940,17.231
96,-4.948475,443.072887,409.889588,447.793587,1.628261,0.669590,20.576
97,-1.244483,443.072887,409.889588,447.793587,1.488181,0.479525,15.672
98,-2.011673,443.072887,409.889588,447.793587,1.487388,0.849149,23.599
99,-3.942224,443.072887,409.889588,447.793587,1.725980,1.917680,21.968
100,-4.601228,426.235375,409.358338,438.964612,1.542830,1.343561,284.573
101,-1.207007,426.235375,409.358338,438.964612,1.821853,1.516229,18.636
102,-3.347779,426.235375,409.358338,438.964612,1.601127,1.219769,17.630
103,-1.652385,426.235375,409.358338,438.964612,1.521560,0.459104,23.266
