update,mean_train_return,dev_primary,dev_l0,dev_full,entropy,value_loss,seconds
0,-4.143274,474.841162,423.902087,478.142713,1.647553,1.882832,274.285
1,-2.857629,474.841162,423.902087,478.142713,1.562314,0.867743,20.105
2,-2.553581,474.841162,423.902087,478.142713,1.675540,0.748444,13.930
3,-4.554849,474.841162,423.902087,478.142713,1.621240,6.354223,18.074
4,-2.100851,474.841162,423.902087,478.142713,1.872740,1.077648,17.748
5,-2.071170,474.841162,423.902087,478.142713,1.566020,0.905142,22.883
6,-3.495785,474.841162,423.902087,478.142713,1.414963,1.075567,18.220
7,-2.102547,474.841162,423.902087,478.142713,1.766724,0.584902,15.040
8,-2.488084,474.841162,423.902087,478.142713,1.833323,3.131962,13.318
9,-2.655801,474.841162,423.902087,478.142713,1.792755,0.689580,19.743
10,-0.991537,474.841162,423.902087,478.142713,1.923293,0.439772,18.246
11,-4.772052,474.841162,423.902087,478.142713,1.636660,1.347432,16.326
12,-2.824773,474.841162,423.902087,478.142713,1.208725,0.880511,13.840
13,-3.551428,474.841162,423.902087,478.142713,1.495750,1.687432,19.848
14,-4.276394,474.841162,423.902087,478.142713,1.904936,1.846314,21.888
15,-4.142885,474.841162,423.902087,478.142713,1.318536,2.314459,13.950
16,-4.163247,474.841162,423.902087,478.142713,1.353905,2.387655,21.598
17,-2.287877,474.841162,423.902087,478.142713,1.845706,1.347810,13.006
18,-2.048313,474.841162,423.902087,478.142713,1.889721,1.214510,21.996
19,-4.354116,474.841162,423.902087,478.142713,1.679824,1.324778,22.910
20,-2.219392,431.420300,410.523963,456.458650,1.370519,0.785869,262.722
21,-2.912717,431.420300,410.523963,456.458650,1.725147,1.452341,24.945
22,-2.591104,431.420300,410.523963,456.458650,1.730707,0.549608,19.154
23,-2.762126,431.420300,410.523963,456.458650,1.727475,0.943895,22.437
24,-2.661822,431.420300,410.523963,456.458650,1.457460,1.436805,18.532
25,-2.557230,431.420300,410.523963,456.458650,1.693279,1.134849,21.832
26,-2.964234,431.420300,410.523963,456.458650,1.373578,0.921171,14.766
27,-3.367098,431.420300,410.523963,456.458650,1.425983,1.455807,10.792
28,-1.936772,431.420300,410.523963,456.458650,1.655445,0.593704,17.927
29,-5.649623,431.420300,410.523963,456.458650,1.898453,2.866933,19.159
30,-2.455934,431.420300,410.523963,456.458650,1.518690,1.843683,13.748
31,-5.472531,431.420300,410.523963,456.458650,2.250919,1.644337,19.622
32,-3.905603,431.420300,410.523963,456.458650,1.601351,2.398224,14.986
33,-2.817489,431.420300,410.523963,456.458650,1.575751,1.182649,20.146
34,-2.537450,431.420300,410.523963,456.458650,1.281171,1.093804,14.998
35,-2.253981,431.420300,410.523963,456.458650,1.420649,0.761754,12.826
36,-1.221817,431.420300,410.523963,456.458650,1.631230,1.336652,16.272
37,-3.272205,431.420300,410.523963,456.458650,1.840324,1.781066,15.295
38,-2.931062,431.420300,410.523963,456.458650,1.766463,0.865998,18.393
39,-2.760763,431.420300,410.523963,456.458650,1.783661,1.616434,17.719
40,-2.902201,461.806587,409.794450,483.183488,1.581488,0.937525,151.044
41,-2.189480,461.806587,409.794450,483.183488,2.093453,1.301354,12.795
42,-1.538988,461.806587,409.794450,483.183488,1.737522,1.192140,9.929
43,-5.945292,461.806587,409.794450,483.183488,1.372997,2.312030,8.194
44,-3.684977,461.806587,409.794450,483.183488,1.646664,1.721799,9.228
45,-3.593131,461.806587,409.794450,483.183488,1.731215,1.511539,14.076
46,-5.804184,461.806587,409.794450,483.183488,1.811591,2.540359,14.847
47,-3.150042,461.806587,409.794450,483.183488,1.785613,0.642542,12.162
48,-2.452184,461.806587,409.794450,483.183488,1.767062,1.370981,11.624
49,-3.178885,461.806587,409.794450,483.183488,1.416239,0.995272,9.980
50,-4.819605,461.806587,409.794450,483.183488,1.667299,2.483396,11.479
51,-1.939774,461.806587,409.794450,483.183488,1.812778,1.317185,13.188
52,-4.409546,461.806587,409.794450,483.183488,1.547710,1.476072,8.636
53,-1.639057,461.806587,409.794450,483.183488,2.007936,0.550529,14.722
54,-2.609630,461.806587,409.794450,483.183488,1.980245,1.641490,11.715
55,-3.787578,461.806587,409.794450,483.183488,1.528227,0.814737,10.370
56,-2.401958,461.806587,409.794450,483.183488,1.789186,1.581515,11.331
57,-2.887885,461.806587,409.794450,483.183488,1.768630,1.619595,11.185
58,-4.586818,461.806587,409.794450,483.183488,2.063835,1.681489,9.618
59,-2.517072,461.806587,409.794450,483.183488,1.841791,2.496443,9.879
60,-5.033814,503.527537,410.680213,554.715756,1.676650,1.600466,93.083
61,-2.417006,503.527537,410.680213,554.715756,1.579049,1.151316,10.986
62,-2.615320,503.527537,410.680213,554.715756,1.560121,0.508084,12.393
63,-2.816607,503.527537,410.680213,554.715756,1.490801,1.151660,7.925
64,-4.924327,503.527537,410.680213,554.715756,2.027322,1.883272,9.467
65,-5.465241,503.527537,410.680213,554.715756,1.502788,2.064221,8.801
66,-3.065743,503.527537,410.680213,554.715756,1.631013,2.682142,8.646
67,-4.292763,503.527537,410.680213,554.715756,1.793918,1.182399,8.766
68,-1.405993,503.527537,410.680213,554.715756,1.664098,0.972619,8.336
69,-3.788580,503.527537,410.680213,554.715756,1.260697,3.424276,13.243
70,-4.525453,503.527537,410.680213,554.715756,1.495595,4.425713,8.486
