update,mean_train_return,dev_primary,dev_l0,dev_full,entropy,value_loss,seconds
0,-4.908498,507.786225,421.300700,585.816219,1.315892,2.065674,10.888
1,-3.765646,507.786225,421.300700,585.816219,1.128312,3.502750,4.081
2,-5.653647,507.786225,421.300700,585.816219,1.101374,2.488494,4.595
3,-6.808474,507.786225,421.300700,585.816219,1.002656,3.497310,4.932
4,-3.881544,507.786225,421.300700,585.816219,1.139808,1.803214,4.820
5,-2.771816,507.786225,421.300700,585.816219,1.815772,1.505736,5.380
6,-4.137441,507.786225,421.300700,585.816219,1.507344,1.840312,4.528
7,-2.429879,507.786225,421.300700,585.816219,1.084256,2.254365,4.630
8,-3.530947,507.786225,421.300700,585.816219,1.586503,1.224655,5.205
9,-1.701088,507.786225,421.300700,585.816219,1.097560,1.622567,4.825
10,-3.043066,507.786225,421.300700,585.816219,1.080048,1.185424,4.803
11,-1.185343,507.786225,421.300700,585.816219,1.436360,1.078594,4.621
12,-1.752800,507.786225,421.300700,585.816219,1.390160,0.970915,4.989
13,-2.601160,507.786225,421.300700,585.816219,1.313220,1.850350,4.734
14,-4.701582,507.786225,421.300700,585.816219,1.383149,2.026344,4.869
15,-3.131894,507.786225,421.300700,585.816219,1.399595,1.691266,5.096
16,-4.014415,507.786225,421.300700,585.816219,1.390297,0.859486,4.862
17,-2.355397,507.786225,421.300700,585.816219,1.039943,1.900403,4.464
18,-4.352634,507.786225,421.300700,585.816219,1.504156,2.650547,4.915
19,-2.387116,507.786225,421.300700,585.816219,1.399648,1.633166,4.948
20,-3.812153,453.373238,409.827088,522.847900,1.248167,1.981553,10.320
21,-2.780333,453.373238,409.827088,522.847900,1.117592,2.781416,4.337
22,-2.581038,453.373238,409.827088,522.847900,1.158537,1.845092,4.624
23,-3.661195,453.373238,409.827088,522.847900,1.174117,1.423870,4.663
24,-2.972141,453.373238,409.827088,522.847900,1.424246,1.647709,4.714
25,-4.320312,453.373238,409.827088,522.847900,1.805066,1.544073,5.400
26,-4.347185,453.373238,409.827088,522.847900,1.481362,1.513494,4.360
27,-2.108816,453.373238,409.827088,522.847900,1.602171,0.976376,5.128
28,-3.280820,453.373238,409.827088,522.847900,1.402487,4.829267,4.909
29,-2.542950,453.373238,409.827088,522.847900,1.240640,0.745033,4.888
30,-2.468745,453.373238,409.827088,522.847900,1.405430,1.935719,5.009
31,-3.142582,453.373238,409.827088,522.847900,1.203356,2.017851,4.215
32,-4.440724,453.373238,409.827088,522.847900,1.287338,2.340741,4.830
33,-2.252622,453.373238,409.827088,522.847900,1.387186,2.944324,4.548
34,-3.685408,453.373238,409.827088,522.847900,1.552744,1.349404,5.187
35,-1.725397,453.373238,409.827088,522.847900,1.247232,1.620673,4.745
36,-3.475351,453.373238,409.827088,522.847900,1.020243,2.485994,4.002
37,-5.575787,453.373238,409.827088,522.847900,1.260951,2.868040,4.879
38,-2.746874,453.373238,409.827088,522.847900,1.700791,2.726687,5.124
39,-3.188215,453.373238,409.827088,522.847900,1.402760,1.969022,4.811
40,-2.551529,457.712650,409.702088,511.552800,1.631641,1.797343,10.831
41,-3.305207,457.712650,409.702088,511.552800,1.304766,2.599661,4.822
42,-4.873662,457.712650,409.702088,511.552800,1.265460,2.591156,5.113
43,-2.626200,457.712650,409.702088,511.552800,1.105224,4.156044,4.733
44,-2.294009,457.712650,409.702088,511.552800,1.776922,1.537643,5.012
45,-3.228759,457.712650,409.702088,511.552800,1.220405,2.082837,4.903
46,-2.751625,457.712650,409.702088,511.552800,1.209767,2.002003,4.927
47,-3.175384,457.712650,409.702088,511.552800,1.509522,2.490455,4.963
48,-5.747965,457.712650,409.702088,511.552800,1.539777,1.435125,5.318
49,-2.273429,457.712650,409.702088,511.552800,1.300311,2.162455,4.565
50,-5.127827,457.712650,409.702088,511.552800,1.144549,2.188910,4.961
51,-3.507256,457.712650,409.702088,511.552800,1.491785,3.653982,5.105
52,-5.839018,457.712650,409.702088,511.552800,1.400554,1.853312,4.720
53,-2.453258,457.712650,409.702088,511.552800,1.307317,1.842689,5.130
