update,mean_train_return,dev_primary,dev_l0,dev_full,entropy,value_loss,seconds
0,-2.373381,520.546688,410.590638,591.898275,3.171976,1.269523,10.696
1,-2.805484,520.546688,410.590638,591.898275,3.015856,0.699325,4.087
2,-4.167716,520.546688,410.590638,591.898275,2.882235,1.775020,4.015
3,-3.026277,520.546688,410.590638,591.898275,2.484685,2.435422,3.696
4,-6.090681,520.546688,410.590638,591.898275,2.839779,2.703832,4.034
5,-4.245827,520.546688,410.590638,591.898275,2.592279,2.062715,3.799
6,-2.468634,520.546688,410.590638,591.898275,2.870207,1.126792,3.985
7,-3.142191,520.546688,410.590638,591.898275,2.611911,1.756719,4.080
8,-1.950105,520.546688,410.590638,591.898275,2.639161,1.557956,3.964
9,-5.067621,520.546688,410.590638,591.898275,2.956737,2.360554,4.150
10,-2.574080,520.546688,410.590638,591.898275,2.542666,2.311845,3.913
11,-3.325485,520.546688,410.590638,591.898275,2.706175,1.865096,4.017
12,-5.126748,520.546688,410.590638,591.898275,2.645530,4.004204,3.833
13,-4.327134,520.546688,410.590638,591.898275,2.621413,3.833432,3.538
14,-5.982979,520.546688,410.590638,591.898275,2.684474,3.906363,4.018
15,-4.179448,520.546688,410.590638,591.898275,2.482602,4.048216,4.039
16,-4.293775,520.546688,410.590638,591.898275,2.609194,2.761864,3.653
17,-3.828192,520.546688,410.590638,591.898275,2.792057,3.303003,4.266
18,-7.928063,520.546688,410.590638,591.898275,2.615633,4.144581,4.124
19,-4.405755,520.546688,410.590638,591.898275,2.651565,3.062289,4.262
20,-3.450594,538.921825,409.607988,594.251513,2.901925,2.366594,10.198
21,-3.179448,538.921825,409.607988,594.251513,2.983810,1.775856,4.277
22,-3.206831,538.921825,409.607988,594.251513,2.827139,3.061341,4.194
23,-4.443473,538.921825,409.607988,594.251513,2.690839,2.486750,4.115
24,-2.473515,538.921825,409.607988,594.251513,2.869032,2.466560,4.426
25,-4.604981,538.921825,409.607988,594.251513,3.053915,3.940638,4.291
26,-6.739129,538.921825,409.607988,594.251513,3.005905,2.923351,4.288
27,-4.420070,538.921825,409.607988,594.251513,2.927061,2.314173,4.226
28,-3.340360,538.921825,409.607988,594.251513,2.724726,1.584178,4.148
29,-5.678366,538.921825,409.607988,594.251513,2.801301,5.169001,4.102
30,-5.693419,538.921825,409.607988,594.251513,2.882800,2.155553,4.324
31,-3.777163,538.921825,409.607988,594.251513,2.895121,1.271751,4.276
32,-5.661709,538.921825,409.607988,594.251513,3.090631,3.634062,4.193
33,-3.498343,538.921825,409.607988,594.251513,2.732288,2.453827,4.032
34,-1.648392,538.921825,409.607988,594.251513,2.915952,0.961597,4.241
35,-3.444579,538.921825,409.607988,594.251513,2.602737,1.883098,4.148
36,-2.940786,538.921825,409.607988,594.251513,2.767845,2.299700,4.110
37,-2.102180,538.921825,409.607988,594.251513,2.554205,1.031442,4.218
38,-1.918752,538.921825,409.607988,594.251513,2.977492,0.743323,4.377
39,-1.320313,538.921825,409.607988,594.251513,2.910593,0.739718,4.198
40,-2.030440,516.936663,409.371888,586.071950,2.705735,0.701934,10.317
41,-1.523453,516.936663,409.371888,586.071950,2.628568,0.769476,4.017
42,-3.506683,516.936663,409.371888,586.071950,2.732486,2.207528,4.173
43,-4.929980,516.936663,409.371888,586.071950,2.855355,3.168889,4.077
44,-4.351542,516.936663,409.371888,586.071950,2.846165,2.397118,4.246
45,-2.893070,516.936663,409.371888,586.071950,2.624042,3.128843,4.152
46,-2.983790,516.936663,409.371888,586.071950,2.707690,2.035303,4.118
47,-5.498925,516.936663,409.371888,586.071950,2.944037,3.393701,4.225
48,-5.396749,516.936663,409.371888,586.071950,2.937604,2.204961,3.975
49,-2.092026,516.936663,409.371888,586.071950,2.500135,1.605673,3.818
50,-4.166971,516.936663,409.371888,586.071950,2.675599,2.203600,4.162
51,-2.442088,516.936663,409.371888,586.071950,2.773052,0.811384,4.299
52,-2.890308,516.936663,409.371888,586.071950,3.026435,1.760816,4.135
53,-3.759747,516.936663,409.371888,586.071950,2.876690,2.199060,4.058
54,-3.578032,516.936663,409.371888,586.071950,2.759385,3.363065,4.015
55,-4.113539,516.936663,409.371888,586.071950,2.929234,1.932649,4.237
56,-2.205532,516.936663,409.371888,586.071950,2.589731,1.901508,4.118
57,-3.419577,516.936663,409.371888,586.071950,3.055183,1.877329,4.274
58,-3.572922,516.936663,409.371888,586.071950,2.549178,1.833072,3.932
59,-4.767392,516.936663,409.371888,586.071950,2.666442,3.161106,4.122
60,-4.143173,511.534325,408.996888,551.640275,2.758964,1.586060,10.083
61,-2.763161,511.534325,408.996888,551.640275,2.644035,1.450096,4.158
62,-4.942424,511.534325,408.996888,551.640275,2.631961,1.585624,4.166
63,-1.064677,511.534325,408.996888,551.640275,2.805742,0.864015,4.158
64,-2.968470,511.534325,408.996888,551.640275,2.849035,1.418357,4.172
65,-3.627156,511.534325,408.996888,551.640275,2.918980,0.812865,4.283
