update,mean_train_return,dev_primary,dev_l0,dev_full,entropy,value_loss,seconds
0,-2.579291,199413.802047,153282.022988,229615.208100,1.995182,1.473164,68.362
1,-3.816877,199413.802047,153282.022988,229615.208100,1.961442,0.877455,4.246
2,-4.341651,199413.802047,153282.022988,229615.208100,1.691109,0.923152,3.967
3,-1.229007,199413.802047,153282.022988,229615.208100,1.524360,0.482724,3.911
4,-3.517386,199413.802047,153282.022988,229615.208100,1.724411,1.089547,3.882
5,-4.569635,199413.802047,153282.022988,229615.208100,1.908698,0.664746,4.003
6,-3.217077,199413.802047,153282.022988,229615.208100,1.855638,1.012850,4.314
7,-5.360209,199413.802047,153282.022988,229615.208100,1.756279,1.222672,4.409
8,-1.643287,199413.802047,153282.022988,229615.208100,1.775222,0.544501,4.112
9,-2.231825,199413.802047,153282.022988,229615.208100,1.981582,0.555325,4.322
10,-3.122476,199413.802047,153282.022988,229615.208100,1.774226,0.964467,4.187
11,-2.388719,199413.802047,153282.022988,229615.208100,1.843231,0.983440,4.340
12,-3.508218,199413.802047,153282.022988,229615.208100,1.867373,1.338533,4.519
13,-4.448907,199413.802047,153282.022988,229615.208100,1.819222,0.445792,4.213
14,-4.416596,199413.802047,153282.022988,229615.208100,1.816205,0.511340,2.582
15,-3.254175,199413.802047,153282.022988,229615.208100,1.703815,1.211267,2.060
16,-5.978075,199413.802047,153282.022988,229615.208100,1.691372,0.797585,1.996
17,-1.255300,199413.802047,153282.022988,229615.208100,1.797915,0.585770,2.380
18,-2.881822,199413.802047,153282.022988,229615.208100,1.696848,0.627527,2.108
19,-2.336035,199413.802047,153282.022988,229615.208100,2.034061,0.939873,2.170
20,-3.464861,30217.418925,42640.641078,34970.871878,1.942435,0.749395,55.077
21,-1.799058,30217.418925,42640.641078,34970.871878,1.846281,1.159965,2.064
22,-5.936851,30217.418925,42640.641078,34970.871878,1.758067,0.903025,2.302
23,-1.522855,30217.418925,42640.641078,34970.871878,1.830271,1.405411,2.434
24,-6.084440,30217.418925,42640.641078,34970.871878,1.692686,1.248034,2.417
25,-2.955664,30217.418925,42640.641078,34970.871878,1.870963,0.859331,2.478
26,-3.240404,30217.418925,42640.641078,34970.871878,1.874658,1.047948,2.289
27,-4.889997,30217.418925,42640.641078,34970.871878,1.758511,1.583979,2.146
28,-2.625894,30217.418925,42640.641078,34970.871878,2.086199,0.720302,1.984
29,-1.636180,30217.418925,42640.641078,34970.871878,2.204619,0.634942,2.479
30,-6.663804,30217.418925,42640.641078,34970.871878,1.887986,2.563970,2.225
31,-2.861950,30217.418925,42640.641078,34970.871878,2.018975,1.072943,2.348
32,-4.616114,30217.418925,42640.641078,34970.871878,2.133529,1.829008,2.297
33,-4.492105,30217.418925,42640.641078,34970.871878,2.219944,1.670165,2.291
34,-4.376940,30217.418925,42640.641078,34970.871878,1.934642,1.348700,2.154
35,-3.070242,30217.418925,42640.641078,34970.871878,1.848425,0.746649,2.040
36,-3.016710,30217.418925,42640.641078,34970.871878,1.787530,1.294641,2.003
37,-4.998189,30217.418925,42640.641078,34970.871878,2.030334,1.204823,2.280
38,-1.143543,30217.418925,42640.641078,34970.871878,1.986477,1.138609,2.126
39,-2.029196,30217.418925,42640.641078,34970.871878,2.140749,0.620373,2.477
40,-2.242697,21209.783022,19350.999137,30299.629575,2.082387,1.315900,61.201
41,-3.903193,21209.783022,19350.999137,30299.629575,1.828245,1.326448,2.412
42,-6.744812,21209.783022,19350.999137,30299.629575,1.864795,1.829598,2.334
43,-5.187025,21209.783022,19350.999137,30299.629575,2.102070,1.506160,2.723
44,-1.086628,21209.783022,19350.999137,30299.629575,1.864677,0.490953,2.022
45,-5.038279,21209.783022,19350.999137,30299.629575,1.711486,0.570088,2.564
46,-0.650920,21209.783022,19350.999137,30299.629575,1.652147,0.173480,2.014
47,-1.622565,21209.783022,19350.999137,30299.629575,1.798247,0.788155,2.252
48,-3.812379,21209.783022,19350.999137,30299.629575,1.875565,0.812754,2.177
49,-1.805496,21209.783022,19350.999137,30299.629575,1.843010,0.342705,2.628
50,-1.310961,21209.783022,19350.999137,30299.629575,2.285742,0.460510,3.068
51,-2.863793,21209.783022,19350.999137,30299.629575,1.760143,0.243612,2.150
52,-1.521330,21209.783022,19350.999137,30299.629575,1.772122,0.660639,2.348
53,-3.274593,21209.783022,19350.999137,30299.629575,1.855946,0.562113,2.571
54,-2.612097,21209.783022,19350.999137,30299.629575,1.685534,0.757030,2.134
55,-5.205179,21209.783022,19350.999137,30299.629575,1.949066,1.300110,2.119
56,-2.752236,21209.783022,19350.999137,30299.629575,1.906861,0.655367,2.873
57,-3.310015,21209.783022,19350.999137,30299.629575,1.628616,2.126553,2.611
58,-5.034010,21209.783022,19350.999137,30299.629575,1.754992,0.851153,2.266
59,-1.635030,21209.783022,19350.999137,30299.629575,1.732360,0.677002,2.347
60,-4.558872,807.095925,1296.220484,2193.190791,1.844438,0.985167,46.148
61,-3.848374,807.095925,1296.220484,2193.190791,1.831229,1.567456,2.254
62,-4.372232,807.095925,1296.220484,2193.190791,1.650670,0.685074,2.291
63,-3.379878,807.095925,1296.220484,2193.190791,1.760585,0.663939,2.584
64,-1.375604,807.095925,1296.220484,2193.190791,1.872187,1.083503,2.695
65,-4.191276,807.095925,1296.220484,2193.190791,1.780792,1.045293,2.543
66,-3.874062,807.095925,1296.220484,2193.190791,1.585498,1.372845,2.457
67,-4.778969,807.095925,1296.220484,2193.190791,2.150004,1.132429,2.944
68,-2.255608,807.095925,1296.220484,2193.190791,1.837142,0.872367,2.815
69,-3.619140,807.095925,1296.220484,2193.190791,1.849872,1.357179,2.422
70,-4.715615,807.095925,1296.220484,2193.190791,2.065782,1.749469,2.686
71,-5.625589,807.095925,1296.220484,2193.190791,2.074010,1.478796,2.704
72,-3.033513,807.095925,1296.220484,2193.190791,1.644661,1.200737,2.999
73,-2.765149,807.095925,1296.220484,2193.190791,1.556074,0.889394,2.296
74,-2.839048,807.095925,1296.220484,2193.190791,1.910121,0.856693,2.529
75,-5.526990,807.095925,1296.220484,2193.190791,1.979158,1.730899,2.554
76,-1.983688,807.095925,1296.220484,2193.190791,1.965736,0.373498,2.280
77,-1.631266,807.095925,1296.220484,2193.190791,1.890297,1.014477,2.441
78,-5.187589,807.095925,1296.220484,2193.190791,1.995460,1.443503,2.379
79,-1.525972,807.095925,1296.220484,2193.190791,1.806955,0.504975,2.530
80,-2.735457,3792.312969,3134.134159,4266.376587,1.703152,1.295800,60.125
81,-3.445973,3792.312969,3134.134159,4266.376587,1.899571,0.856603,2.977
82,-4.898311,3792.312969,3134.134159,4266.376587,2.484075,2.119843,2.862
83,-1.336336,3792.312969,3134.134159,4266.376587,1.809319,0.549516,2.483
