update,mean_train_return,dev_primary,dev_l0,dev_full,entropy,value_loss,seconds
0,-2.900435,535.716100,424.775700,568.694138,1.554801,0.723665,7.003
1,-1.685468,535.716100,424.775700,568.694138,1.527041,0.673643,1.291
2,-2.958761,535.716100,424.775700,568.694138,1.596759,1.139495,1.419
3,-4.899264,535.716100,424.775700,568.694138,1.675788,1.217349,1.298
4,-1.556489,535.716100,424.775700,568.694138,1.559901,0.318184,1.401
5,-1.736207,535.716100,424.775700,568.694138,1.318574,0.829586,1.208
6,-3.729758,535.716100,424.775700,568.694138,1.354296,1.489874,1.234
7,-3.229038,535.716100,424.775700,568.694138,1.654670,0.919084,1.542
8,-5.237567,535.716100,424.775700,568.694138,1.965319,1.700021,1.657
9,-2.729367,535.716100,424.775700,568.694138,1.761974,1.432800,1.524
10,-3.453004,535.716100,424.775700,568.694138,1.729011,0.980747,1.530
11,-3.329082,535.716100,424.775700,568.694138,1.667473,2.079370,1.396
12,-4.215873,535.716100,424.775700,568.694138,1.934947,1.446520,1.586
13,-2.855813,535.716100,424.775700,568.694138,1.945246,1.350942,1.671
14,-3.604643,535.716100,424.775700,568.694138,1.697918,0.959612,1.434
15,-1.944916,535.716100,424.775700,568.694138,1.531556,1.173514,1.228
16,-3.501609,535.716100,424.775700,568.694138,1.690103,2.113171,1.573
17,-3.198108,535.716100,424.775700,568.694138,1.945856,7.251812,1.416
18,-2.232174,535.716100,424.775700,568.694138,1.630210,1.179910,1.427
19,-2.749716,535.716100,424.775700,568.694138,1.790969,1.050163,1.454
20,-3.101980,512.253638,415.478325,519.349862,1.780398,1.303955,7.091
21,-3.892158,512.253638,415.478325,519.349862,2.209936,1.212147,1.918
22,-2.981055,512.253638,415.478325,519.349862,1.963361,0.829816,1.811
23,-3.262474,512.253638,415.478325,519.349862,1.637319,0.567484,1.347
24,-2.456897,512.253638,415.478325,519.349862,1.635537,1.228187,1.342
25,-2.716455,512.253638,415.478325,519.349862,1.590283,1.098069,1.361
26,-6.088348,512.253638,415.478325,519.349862,1.895473,2.720110,1.559
27,-1.325494,512.253638,415.478325,519.349862,1.509639,1.546696,1.342
28,-5.506275,512.253638,415.478325,519.349862,1.700450,2.212527,1.500
29,-5.097772,512.253638,415.478325,519.349862,1.776204,1.623497,1.536
30,-1.969576,512.253638,415.478325,519.349862,1.823637,0.864729,1.526
31,-3.984419,512.253638,415.478325,519.349862,1.521574,1.504306,1.415
32,-3.409281,512.253638,415.478325,519.349862,1.846459,1.488010,1.619
33,-2.688621,512.253638,415.478325,519.349862,1.740516,2.136010,1.540
34,-4.905189,512.253638,415.478325,519.349862,1.533742,1.927725,1.536
35,-1.772992,512.253638,415.478325,519.349862,1.523190,1.077575,1.614
36,-3.918981,512.253638,415.478325,519.349862,1.667655,1.643597,1.334
37,-3.794553,512.253638,415.478325,519.349862,1.713865,2.577822,1.491
38,-2.654810,512.253638,415.478325,519.349862,1.956294,2.043384,1.727
39,-4.474688,512.253638,415.478325,519.349862,1.755122,1.379245,1.494
40,-1.051548,517.428087,413.172800,524.584250,1.679693,0.965757,7.132
41,-2.249985,517.428087,413.172800,524.584250,1.266772,0.697087,1.200
42,-2.916580,517.428087,413.172800,524.584250,1.883860,1.759337,1.526
